"pol","MM","MO","SdM","SdO","MB","NMB","NMGE","RMSE","r","fb_abs","nmse","fac2","nad"
"o3",49.7429817818095,41.5238095238095,59.4818323197854,47.4904279521387,8.219172258,0.197938781442661,0.269108360536697,18.0333384261322,0.979574696442105,0.180113097884136,0.157442965369521,0.648809523809524,0.0900565489420681
"nox",117.598775438126,146.364285714286,85.5716425958976,150.266495384086,-28.7655102761599,-0.196533670326601,0.498612208455271,119.9921157414,0.631899006427062,0.217951028076241,0.836503004124204,0.744047619047619,0.10897551403812
"no",33.0622432267281,54.5892857142857,48.503884173144,88.9396168947166,-21.5270424875577,-0.394345560779597,0.771724975026321,74.4981731124243,0.596425438126692,0.491196052085859,3.0750452966357,0.291666666666667,0.245598026042929
"no2",66.9033358238095,62.6607142857143,22.014719074546,25.8905643361134,4.24262153809524,0.067707838738482,0.184577867426617,14.8405093039057,0.834703082301032,0.0654907211453924,0.0525356968764636,0.946428571428571,0.0327453605726962
