"pol","MM","MO","SdM","SdO","MB","NMB","NMGE","RMSE","r","fb_abs","nmse","fac2","nad"
"o3",43.1994154292143,41.5238095238095,54.7649606239327,47.4904279521387,1.67560590540476,0.0403528945108945,0.197427055267775,13.5543466928928,0.975185216807808,0.039554818795763,0.102419374562845,0.601190476190476,0.0197774093978815
"nox",174.989731475604,146.364285714286,147.414962205613,150.266495384086,28.6254457613188,0.195576712048442,0.637816116346156,146.464169338744,0.531685786809462,0.178155207217489,0.837558409233772,0.636904761904762,0.0890776036087447
"no",63.6132601548973,54.5892857142857,89.1423597124731,88.9396168947166,9.02397444061162,0.165306695673618,0.923185929012709,87.0829818351163,0.524052646132954,0.152686634188042,2.18379324147644,0.398809523809524,0.0763433170940211
"no2",77.4493992380952,62.6607142857143,22.1850821354472,25.8905643361134,14.788684952381,0.236012071055381,0.286259907666002,22.7003884810444,0.752214762371277,0.21110089172639,0.106182558225904,0.892857142857143,0.105550445863195
