"pol","MM","MO","SdM","SdO","MB","NMB","NMGE","RMSE","r","fb_abs","nmse","fac2","nad"
"o3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"nox",56.7888,105.817066666667,36.5892680037001,66.8246128459205,-49.0282666666667,-0.463330426849859,0.488127939034409,68.8861677455399,0.704253012470052,0.603031952926668,0.789670000766087,0.584,0.301515976463334
"no",7.344,26.912,10.3269956284332,30.6667877510466,-19.568,-0.727110582639715,0.782996432818074,32.5013230499929,0.581375678694679,1.14245679588977,5.34470129708641,0.219512195121951,0.571228397944886
"no2",45.528,64.552,24.2831336660893,26.5063765913035,-19.024,-0.294708142272896,0.312554219853761,24.1697331387833,0.829790742328127,0.345639534883721,0.198772104393317,0.832,0.17281976744186
