"pol","MM","MO","SdM","SdO","MB","NMB","NMGE","RMSE","r","fb_abs","nmse","fac2","nad"
"o3",25.6858500512836,41.5238095238095,26.8745924316573,47.4904279521387,-15.837959472526,-0.38141874876496,0.496796174337896,32.5433907349934,0.847973578683923,0.471300095035604,0.992966205786369,0.387878787878788,0.235650047517802
"nox",88.4259431645134,146.364285714286,75.3828569008339,150.266495384086,-57.9383425497723,-0.39585027363077,0.593724218407441,137.288683504606,0.559632812855063,0.493532825675472,1.45631278619349,0.523809523809524,0.246766412837736
"no",31.8789607580678,54.5892857142857,43.5521115055582,88.9396168947166,-22.7103249562179,-0.416021654415507,0.77248378033474,76.1034889393827,0.580799996132786,0.525287047736746,3.32810920088615,0.267857142857143,0.262643523868373
"no2",39.5448700021429,62.6607142857143,15.9087826733244,25.8905643361134,-23.1158442835714,-0.368904895947563,0.417197618280612,32.0914879297818,0.515823248586296,0.452340142559466,0.415617871671065,0.696428571428571,0.226170071279733
