"pol","MM","MO","SdM","SdO","MB","NMB","NMGE","RMSE","r","fb_abs","nmse","fac2","nad"
"o3",67.5952380952381,41.5238095238095,63.1829619737418,47.4904279521387,26.0714285714286,0.627866972477064,0.627866972477064,32.4421646568019,0.978545653485513,0.477852934758892,0.374978490132525,0.517857142857143,0.238926467379446
"nox",60.3390873015873,146.364285714286,37.3479328804968,150.266495384086,-86.0251984126984,-0.587747195245609,0.591678460462317,149.606515093647,0.793226574013182,0.832354084575992,2.53435330996773,0.547619047619048,0.416177042287996
"no",9.45833333333333,54.5892857142857,12.6543662042765,88.9396168947166,-45.1309523809524,-0.826736451859121,0.845709301057682,91.4910384630518,0.754639140380664,1.4092936802974,16.2119437011034,0.275,0.704646840148699
"no2",45.8363095238095,62.6607142857143,23.3662262680863,25.8905643361134,-16.8244047619048,-0.268500047496913,0.273059751116177,21.222916914999,0.866123257344363,0.310135783843094,0.156821340928793,0.863095238095238,0.155067891921547
