"pol","MM","MO","SdM","SdO","MB","NMB","NMGE","RMSE","r","fb_abs","nmse","fac2","nad"
"o3",54.4930570235714,41.5238095238095,62.1105342747699,47.4904279521387,12.9692474997619,0.312332795292431,0.347920965361239,22.1702460582668,0.981098310320794,0.270145193571007,0.217221427790644,0.630952380952381,0.135072596785504
"nox",88.9477414222238,146.364285714286,57.4395772503665,150.266495384086,-57.4165442920619,-0.392285208183528,0.515228426731162,128.474492544682,0.729396192232069,0.488003481936377,1.26783804373091,0.720238095238095,0.244001740968188
"no",18.708860384059,54.5892857142857,28.7325611712521,88.9396168947166,-35.8804253302267,-0.657279626592311,0.801823422997317,80.7079911186268,0.680531273853173,0.979026816915278,6.37790915943596,0.136904761904762,0.489513408457639
"no2",60.2608221666667,62.6607142857143,22.8477746672414,25.8905643361134,-2.39989211904762,-0.0382997887337323,0.169767877267978,13.3213434427171,0.861828630295837,0.0390475450976375,0.0469965152360781,0.958333333333333,0.0195237725488188
