date,o3,no,no2
2014-10-31 02:00:00,NA,5,61
2014-10-31 03:00:00,NA,7,50
2014-10-31 04:00:00,NA,0,49
2014-10-31 05:00:00,NA,1,36
2014-10-31 06:00:00,NA,21,40
2014-10-31 07:00:00,NA,37,51
2014-10-31 08:00:00,NA,29,45
2014-10-31 09:00:00,NA,56,67
2014-10-31 10:00:00,NA,43,57
2014-10-31 11:00:00,NA,28,52
2014-10-31 12:00:00,NA,26,60
2014-10-31 13:00:00,NA,19,61
2014-10-31 14:00:00,NA,10,60
2014-10-31 15:00:00,NA,11,58
2014-10-31 16:00:00,NA,19,76
2014-10-31 17:00:00,NA,9,63
2014-10-31 18:00:00,NA,0,32
2014-10-31 19:00:00,NA,5,47
2014-10-31 20:00:00,NA,15,54
2014-10-31 21:00:00,NA,18,58
2014-10-31 22:00:00,NA,19,56
2014-10-31 23:00:00,NA,23,65
2014-11-01 00:00:00,NA,26,65
